joint1,2,3,4,5,6,7,manip,x,y,z,force
0.145878,1.28677,2.33272,-1.4129,-1.33554,-0.801013,-0.270016,0.0852685,0.321257,0.335147,0.972474,-3.647,
0.146184,1.28677,2.33291,-1.41391,-1.33457,-0.801066,-0.271754,0.0852357,0.320747,0.33518,0.972456,-3.547,
0.146528,1.28676,2.33312,-1.41504,-1.33349,-0.801125,-0.273696,0.0851991,0.320177,0.335217,0.972438,-4.247,
0.146787,1.2868,2.33328,-1.41597,-1.33264,-0.801194,-0.275244,0.0851724,0.319727,0.335247,0.972403,-3.947,
0.146784,1.28693,2.33381,-1.41787,-1.331,-0.801117,-0.277849,0.0851018,0.319012,0.335077,0.972371,-2.247,
0.147001,1.28691,2.3343,-1.41961,-1.32931,-0.801059,-0.280591,0.0850305,0.31823,0.334983,0.972386,-4.147,
0.147229,1.28696,2.33465,-1.4211,-1.32794,-0.80108,-0.282909,0.0849788,0.317569,0.334939,0.97236,-2.147,
0.147526,1.28691,2.33502,-1.42256,-1.32647,-0.801074,-0.285346,0.0849207,0.316864,0.334904,0.972374,-3.647,
0.147789,1.28691,2.33533,-1.42391,-1.32518,-0.801099,-0.287536,0.084872,0.316232,0.334879,0.972364,-2.447,
0.148019,1.28687,2.3356,-1.42498,-1.32409,-0.801104,-0.289344,0.0848296,0.315707,0.334857,0.972374,-3.147,
0.148228,1.28685,2.33585,-1.426,-1.32308,-0.801119,-0.29103,0.0847913,0.315219,0.334836,0.972374,-4.047,
0.14851,1.28688,2.33618,-1.42756,-1.32163,-0.801172,-0.293504,0.0847388,0.314509,0.334805,0.972344,-1.947,
0.14882,1.28681,2.33654,-1.42895,-1.32019,-0.801178,-0.295883,0.0846823,0.313815,0.334774,0.972366,-3.747,
0.149053,1.2868,2.33681,-1.43016,-1.31902,-0.801218,-0.297842,0.0846398,0.313251,0.334749,0.972352,-3.247,
0.149272,1.2868,2.33706,-1.43129,-1.31794,-0.801256,-0.299667,0.0846003,0.312724,0.334726,0.972339,-2.947,
0.149468,1.28677,2.33728,-1.43222,-1.317,-0.801279,-0.301227,0.0845652,0.312272,0.334706,0.97234,-1.847,
0.149653,1.28669,2.33748,-1.43294,-1.3162,-0.801272,-0.302518,0.0845328,0.311891,0.33469,0.972371,-3.147,
0.150049,1.28661,2.33765,-1.43393,-1.31514,-0.801359,-0.304389,0.0844983,0.31133,0.33474,0.972375,-3.547,
0.150412,1.28656,2.33778,-1.43482,-1.31423,-0.801468,-0.306043,0.0844718,0.310835,0.334798,0.972358,-3.547,
0.15074,1.28652,2.33789,-1.43565,-1.31339,-0.801569,-0.307562,0.0844475,0.310381,0.334849,0.972341,-2.847,
0.151024,1.28646,2.33799,-1.43629,-1.31269,-0.801639,-0.308807,0.0844258,0.310005,0.334892,0.972343,-2.347,
0.151095,1.28643,2.33831,-1.43733,-1.31164,-0.801601,-0.310418,0.0843807,0.30955,0.3348,0.972361,-3.047,
0.151095,1.28645,2.33863,-1.43838,-1.31064,-0.801561,-0.311931,0.0843374,0.309132,0.334688,0.972363,-2.547,
0.151113,1.28644,2.3389,-1.43922,-1.30982,-0.801525,-0.313171,0.0843015,0.308786,0.3346,0.972374,-3.647,
0.151111,1.28648,2.33913,-1.44006,-1.30907,-0.801515,-0.31434,0.0842704,0.308465,0.334518,0.97236,-4.147,
0.151096,1.28656,2.33932,-1.44083,-1.30843,-0.80153,-0.315359,0.0842462,0.308188,0.334448,0.972325,-3.847,
0.151085,1.28661,2.33947,-1.44147,-1.30789,-0.80154,-0.316213,0.0842255,0.307956,0.334389,0.972299,-2.947,
0.151126,1.28663,2.33984,-1.44274,-1.30667,-0.801519,-0.31808,0.0841751,0.307436,0.33427,0.972296,-1.547,
0.151198,1.28656,2.34023,-1.44392,-1.30543,-0.80146,-0.31994,0.0841202,0.30691,0.334151,0.972335,-3.147,
0.151237,1.28656,2.34053,-1.44494,-1.30444,-0.801444,-0.321462,0.0840789,0.306484,0.334055,0.972337,-4.747,
0.151241,1.28665,2.34078,-1.44602,-1.30353,-0.801479,-0.322915,0.0840455,0.306087,0.333965,0.972289,-4.447,
0.151242,1.28675,2.34101,-1.44705,-1.30267,-0.80152,-0.324287,0.0840147,0.305713,0.333881,0.972237,-2.047,
0.151281,1.28671,2.34121,-1.44767,-1.30201,-0.801493,-0.325265,0.083986,0.305436,0.333818,0.972258,-2.547,
0.151318,1.28668,2.3414,-1.44826,-1.30139,-0.801469,-0.326198,0.0839589,0.305172,0.333759,0.972277,-3.047,
0.151339,1.28667,2.34156,-1.4488,-1.30086,-0.801466,-0.327005,0.0839373,0.304946,0.333708,0.972277,-3.047,
0.151356,1.28668,2.34168,-1.44926,-1.30042,-0.801464,-0.327685,0.0839194,0.304757,0.333665,0.972275,-3.247,
0.151811,1.28657,2.34157,-1.44946,-1.3001,-0.801631,-0.328469,0.0839213,0.304488,0.333824,0.972268,-3.347,
0.152314,1.28645,2.34142,-1.44958,-1.29985,-0.801822,-0.329184,0.0839281,0.304234,0.334013,0.972258,-3.247,
0.152758,1.28635,2.3415,-1.45041,-1.29892,-0.801975,-0.330873,0.0839043,0.303717,0.334098,0.97225,-1.647,
0.15321,1.28617,2.34163,-1.45122,-1.29791,-0.802079,-0.332623,0.0838729,0.303177,0.334167,0.972284,-0.847,
0.153619,1.28595,2.34176,-1.45179,-1.29706,-0.802136,-0.33406,0.0838437,0.302725,0.334228,0.972349,-4.447,
0.15391,1.28593,2.34182,-1.45249,-1.29637,-0.802267,-0.335329,0.0838275,0.302344,0.334279,0.972319,-3.747,
0.154178,1.28591,2.34187,-1.45314,-1.29573,-0.802393,-0.336503,0.0838127,0.301991,0.334327,0.972288,-2.247,
0.154763,1.28572,2.34194,-1.45398,-1.29467,-0.802571,-0.338427,0.083786,0.301389,0.33445,0.972306,-2.647,
0.155354,1.28553,2.342,-1.45482,-1.29363,-0.802758,-0.340339,0.0837605,0.300789,0.334577,0.97232,-2.847,
