joint1,2,3,4,5,6,7,manip,x,y,z,force
0.141995,1.28715,2.33458,-1.41637,-1.33245,-0.799935,-0.271214,0.0850565,0.321289,0.333386,0.972602,-3.847,
0.1422,1.28718,2.33483,-1.41752,-1.3314,-0.799959,-0.273022,0.0850178,0.320772,0.333369,0.97258,-1.047,
0.142548,1.28707,2.33518,-1.41879,-1.33002,-0.799931,-0.275308,0.0849612,0.320099,0.333362,0.972626,-2.147,
0.142911,1.28698,2.33548,-1.42001,-1.32871,-0.799933,-0.277517,0.0849102,0.319448,0.333373,0.972658,-3.247,
0.14324,1.28695,2.33575,-1.42126,-1.32748,-0.799973,-0.279651,0.0848654,0.318825,0.333384,0.972654,-4.047,
0.143504,1.28697,2.33597,-1.42239,-1.32643,-0.800034,-0.281489,0.0848301,0.318293,0.333394,0.972624,-2.847,
0.143744,1.28695,2.33616,-1.42327,-1.32554,-0.800064,-0.283019,0.0847978,0.317846,0.333402,0.972623,-1.047,
0.144001,1.28682,2.33637,-1.42396,-1.3247,-0.800041,-0.2844,0.0847624,0.317431,0.333409,0.972677,-1.547,
0.144226,1.2867,2.33654,-1.42455,-1.32397,-0.80002,-0.285586,0.0847316,0.317074,0.333415,0.972726,-2.447,
0.144408,1.28664,2.33669,-1.42511,-1.32334,-0.800023,-0.286641,0.0847071,0.316761,0.333421,0.972746,-2.047,
0.144567,1.28657,2.33681,-1.42556,-1.32281,-0.800018,-0.287516,0.0846857,0.3165,0.333426,0.972773,-3.447,
0.144694,1.28656,2.33691,-1.42605,-1.32233,-0.800044,-0.288348,0.0846691,0.316257,0.333431,0.972766,-4.147,
0.144785,1.28661,2.33698,-1.42655,-1.32193,-0.800094,-0.289082,0.0846579,0.316049,0.333435,0.972732,-2.947,
0.144881,1.28661,2.33705,-1.42692,-1.32156,-0.800114,-0.289709,0.0846454,0.315866,0.333438,0.972727,-2.247,
0.144978,1.28656,2.33713,-1.42717,-1.32125,-0.800106,-0.290217,0.0846324,0.315713,0.333441,0.972749,-1.347,
0.145087,1.28645,2.33721,-1.42733,-1.32095,-0.800073,-0.29067,0.0846173,0.315571,0.333443,0.972796,-1.447,
0.145186,1.28635,2.33729,-1.42744,-1.32069,-0.800035,-0.291053,0.0846035,0.315448,0.333445,0.972846,-3.747,
0.145233,1.28637,2.33732,-1.42768,-1.32049,-0.800058,-0.291412,0.0845978,0.315346,0.333448,0.972831,-4.847,
0.145343,1.28647,2.33758,-1.4289,-1.31946,-0.800109,-0.293158,0.0845619,0.314859,0.333397,0.972777,-1.647,
0.145512,1.28641,2.33789,-1.42999,-1.31832,-0.80008,-0.294967,0.0845144,0.314338,0.333339,0.972803,-0.047,
0.14569,1.28624,2.33818,-1.43071,-1.31739,-0.799998,-0.29637,0.08447,0.313922,0.333293,0.972888,-4.047,
0.145797,1.28626,2.3384,-1.4316,-1.31655,-0.800011,-0.297743,0.0844381,0.313532,0.333251,0.972876,-3.947,
0.145666,1.28638,2.33879,-1.43291,-1.31545,-0.799956,-0.299398,0.0843899,0.313094,0.333083,0.972841,-1.947,
0.145538,1.2864,2.33921,-1.43404,-1.31437,-0.799835,-0.300925,0.0843364,0.312683,0.332903,0.972865,-2.547,
0.14544,1.28642,2.33955,-1.43497,-1.31348,-0.799743,-0.302179,0.0842932,0.312345,0.33276,0.972882,-2.147,
0.145353,1.28642,2.33987,-1.43582,-1.31266,-0.79965,-0.303343,0.0842522,0.312031,0.332626,0.972906,-2.947,
0.145259,1.28646,2.34017,-1.43666,-1.31188,-0.799582,-0.304451,0.0842155,0.311735,0.3325,0.97291,-2.947,
0.144981,1.28655,2.3406,-1.43777,-1.31092,-0.799445,-0.305736,0.0841651,0.31141,0.332274,0.972911,-3.547,
0.144673,1.28668,2.34104,-1.43894,-1.30994,-0.799316,-0.307045,0.0841148,0.311084,0.332038,0.972897,-2.847,
0.144425,1.28676,2.34142,-1.4399,-1.30911,-0.799197,-0.30814,0.0840714,0.310809,0.33184,0.972898,-2.947,
0.144208,1.28683,2.34175,-1.44074,-1.30838,-0.799091,-0.309104,0.0840329,0.310566,0.331666,0.972901,-4.047,
0.143999,1.28694,2.34202,-1.44154,-1.30775,-0.799029,-0.309963,0.0840024,0.310354,0.331514,0.972873,-2.947,
0.143837,1.287,2.34226,-1.44216,-1.30721,-0.798957,-0.31067,0.0839749,0.310177,0.331386,0.97287,-2.447,
0.143699,1.28702,2.34249,-1.44269,-1.30671,-0.798873,-0.311313,0.0839475,0.310013,0.331268,0.972886,-2.347,
0.143585,1.28702,2.34269,-1.44313,-1.30628,-0.798795,-0.311862,0.0839232,0.309872,0.331167,0.972906,-2.647,
0.143326,1.28709,2.3432,-1.44446,-1.30505,-0.798651,-0.313517,0.0838618,0.309442,0.330918,0.972918,-1.447,
0.143096,1.2871,2.34372,-1.44571,-1.30383,-0.798483,-0.315143,0.0837982,0.309013,0.330675,0.972959,-3.447,
0.142862,1.28718,2.34416,-1.44692,-1.30274,-0.798374,-0.316626,0.0837453,0.30863,0.330456,0.972956,-4.747,
0.142629,1.28734,2.34452,-1.44809,-1.30182,-0.798328,-0.317943,0.0837043,0.308297,0.330266,0.972905,-3.047,
0.142447,1.28742,2.34485,-1.44903,-1.301,-0.798255,-0.319074,0.0836651,0.308005,0.3301,0.972895,-1.147,
0.142333,1.28737,2.34515,-1.44967,-1.30029,-0.798138,-0.319983,0.0836264,0.307761,0.329961,0.972945,-2.747,
0.141947,1.28746,2.3459,-1.45163,-1.29847,-0.797939,-0.322422,0.0835362,0.307128,0.329591,0.972962,-3.947,
0.14152,1.28764,2.34664,-1.45375,-1.29662,-0.79778,-0.32495,0.0834481,0.306479,0.329211,0.972935,-3.147,
0.141172,1.28776,2.34727,-1.45549,-1.29506,-0.79764,-0.327064,0.083373,0.305934,0.328892,0.972925,-2.847,
0.140874,1.28784,2.34783,-1.45699,-1.29367,-0.797506,-0.328922,0.0833057,0.305453,0.32861,0.972929,-2.747,
0.140388,1.28796,2.34869,-1.45924,-1.2916,-0.797295,-0.331661,0.0832042,0.304749,0.328173,0.972936,-2.047,
0.139982,1.28803,2.34958,-1.46162,-1.28932,-0.797094,-0.334734,0.0830949,0.303941,0.32774,0.972962,-4.147,
0.139708,1.28814,2.35032,-1.46394,-1.28718,-0.797013,-0.337756,0.0830015,0.303138,0.327393,0.972936,-3.147,
0.139487,1.28821,2.35099,-1.46599,-1.28525,-0.796943,-0.340468,0.0829177,0.302413,0.327089,0.972923,-2.447,
0.139471,1.28817,2.35159,-1.46793,-1.28327,-0.796923,-0.343338,0.0828363,0.301619,0.326861,0.972938,-3.047,
0.139478,1.28815,2.35214,-1.46983,-1.28136,-0.796933,-0.346131,0.0827605,0.300845,0.326653,0.972939,-4.347,
0.139532,1.28817,2.35261,-1.47169,-1.27956,-0.797013,-0.348844,0.082695,0.300091,0.326487,0.972902,-1.747,
0.139637,1.28807,2.35306,-1.47322,-1.27792,-0.797039,-0.351271,0.0826312,0.299405,0.326344,0.972927,-2.547,
0.139801,1.28797,2.35346,-1.47471,-1.27631,-0.797098,-0.353685,0.0825717,0.298715,0.326231,0.972947,-1.747,
