joint1,2,3,4,5,6,7,manip,x,y,z,force
0.156192,1.28548,2.34145,-1.45271,-1.29462,-0.802462,-0.338981,0.0838016,0.301479,0.335145,0.972358,0.059,
0.156228,1.28548,2.34213,-1.45504,-1.29235,-0.802449,-0.342396,0.083709,0.30053,0.334898,0.972358,-0.141,
0.156267,1.28547,2.3428,-1.45737,-1.29008,-0.802444,-0.345808,0.0836169,0.29958,0.334651,0.972357,-0.141,
0.156539,1.28539,2.34304,-1.45849,-1.28889,-0.802539,-0.347743,0.0835774,0.299012,0.334628,0.972357,0.059,
0.156812,1.28531,2.34327,-1.45961,-1.28771,-0.802636,-0.349676,0.0835382,0.298444,0.334606,0.972356,0.059,
0.157085,1.28522,2.3435,-1.46072,-1.28652,-0.802736,-0.351608,0.0834991,0.297876,0.334583,0.972356,0.159,
0.15736,1.28514,2.34373,-1.46184,-1.28534,-0.802838,-0.35354,0.0834602,0.297309,0.334561,0.972356,0.159,
0.157635,1.28505,2.34396,-1.46295,-1.28415,-0.802944,-0.35547,0.0834214,0.296741,0.334539,0.972356,0.159,
0.158414,1.28482,2.34398,-1.46397,-1.28288,-0.80324,-0.357841,0.0833962,0.29599,0.334719,0.972356,0.259,
0.159195,1.28459,2.34399,-1.46499,-1.28162,-0.80354,-0.360209,0.0833713,0.295239,0.3349,0.972355,-0.041,
0.159977,1.28435,2.344,-1.46601,-1.28035,-0.803843,-0.362575,0.0833467,0.294489,0.335081,0.972355,0.159,
0.160762,1.28411,2.34401,-1.46702,-1.27909,-0.80415,-0.364937,0.0833224,0.293738,0.335261,0.972355,0.159,
0.161548,1.28387,2.34402,-1.46803,-1.27783,-0.80446,-0.367296,0.0832983,0.292987,0.335442,0.972355,0.059,
0.161821,1.28376,2.3444,-1.46967,-1.27611,-0.804586,-0.370001,0.0832393,0.292203,0.335351,0.972354,0.259,
0.162095,1.28366,2.34478,-1.47131,-1.27439,-0.804716,-0.372704,0.0831806,0.291418,0.335261,0.972354,0.259,
0.162372,1.28354,2.34515,-1.47294,-1.27266,-0.804852,-0.375404,0.0831223,0.290634,0.33517,0.972353,0.259,
0.162649,1.28343,2.34552,-1.47457,-1.27094,-0.804993,-0.378103,0.0830643,0.289849,0.335079,0.972353,0.359,
0.162929,1.2833,2.34589,-1.47619,-1.26921,-0.80514,-0.380799,0.0830067,0.289064,0.334989,0.972352,-0.141,
0.162862,1.28327,2.34649,-1.47821,-1.2672,-0.805166,-0.383687,0.0829268,0.288269,0.334718,0.972352,-0.041,
